id,work_year,experience_level,employment_type,job_title,department,Salary_in_usd,employee_residence,job_type,company_location,company_size
0,2020,mid-level,"full time","Data Scientist","Data Science",79833,Germany,"On Site",Germany,"Large Enterprise"
1,2020,Senior,"full time","Machine Learning Scientist","Data Science",260000,Japan,"On Site",Japan,"Small Enterprise"
2,2020,Senior,"full time","Big Data Engineer","Data Engineering",109024,"United Kingdom",Hybrid,"United Kingdom","Medium Enterprise"
3,2020,mid-level,"full time","Product Data Analyst","Data Analysis",20000,Honduras,"On Site",Honduras,"Small Enterprise"
4,2020,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",150000,USA,Hybrid,USA,"Large Enterprise"
5,2020,Junior,"full time","Data Analyst","Data Analysis",72000,USA,Remote,USA,"Large Enterprise"
6,2020,Senior,"full time","Lead Data Scientist","Data Science",190000,USA,Remote,USA,"Small Enterprise"
7,2020,mid-level,"full time","Data Scientist","Data Science",35735,Hungary,Hybrid,Hungary,"Large Enterprise"
8,2020,mid-level,"full time","Business Data Analyst","Data Analysis",135000,USA,Remote,USA,"Large Enterprise"
9,2020,Senior,"full time","Lead Data Engineer","Data Engineering",125000,"New Zealand",Hybrid,"New Zealand","Small Enterprise"
10,2020,Junior,"full time","Data Scientist","Data Science",51321,France,"On Site",France,"Small Enterprise"
11,2020,mid-level,"full time","Data Scientist","Data Science",40481,India,"On Site",India,"Large Enterprise"
12,2020,Junior,"full time","Data Scientist","Data Science",39916,France,"On Site",France,"Medium Enterprise"
13,2020,mid-level,"full time","Lead Data Analyst","Data Analysis",87000,USA,Remote,USA,"Large Enterprise"
14,2020,mid-level,"full time","Data Analyst","Data Analysis",85000,USA,Remote,USA,"Large Enterprise"
15,2020,mid-level,"full time","Data Analyst","Data Analysis",8000,Pakistan,Hybrid,Pakistan,"Large Enterprise"
16,2020,Junior,"full time","Data Engineer","Data Engineering",41689,Japan,Remote,Japan,"Small Enterprise"
17,2020,Senior,"full time","Big Data Engineer","Data Engineering",114047,Poland,Remote,"United Kingdom","Small Enterprise"
18,2020,Junior,"full time","Data Science Consultant","Data Science",5707,India,Hybrid,India,"Medium Enterprise"
19,2020,mid-level,"full time","Lead Data Engineer","Data Engineering",56000,Portugal,Remote,USA,"Medium Enterprise"
20,2020,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",43331,China,"On Site",China,"Medium Enterprise"
21,2020,mid-level,"full time","Product Data Analyst","Data Analysis",6072,India,Remote,India,"Large Enterprise"
22,2020,Senior,"full time","Data Engineer","Data Engineering",47899,Greece,Hybrid,Greece,"Large Enterprise"
23,2020,mid-level,"full time","BI Data Analyst","Data Analysis",98000,USA,"On Site",USA,"Medium Enterprise"
24,2020,mid-level,"full time","Lead Data Scientist","Data Science",115000,UAE,"On Site",UAE,"Large Enterprise"
25,2020,Senior,"full time","Director of Data Science","Data Science",325000,USA,Remote,USA,"Large Enterprise"
26,2020,Junior,"full time","Research Scientist","Data Science",42000,Netherlands,Hybrid,Netherlands,"Large Enterprise"
27,2020,Senior,"full time","Data Engineer","Data Engineering",33511,Mexico,"On Site",Mexico,"Small Enterprise"
28,2020,Junior,contract,"Business Data Analyst","Data Analysis",100000,USA,Remote,USA,"Large Enterprise"
29,2020,Senior,"full time","Machine Learning Manager","Artificial Intelligence",117104,Canada,Hybrid,Canada,"Large Enterprise"
30,2020,mid-level,"full time","Data Engineering Manager","Data Engineering",59303,Germany,Remote,Germany,"Small Enterprise"
31,2020,Junior,"full time","Big Data Engineer","Data Engineering",70000,USA,Remote,USA,"Large Enterprise"
32,2020,Senior,"full time","Data Scientist","Data Science",68428,Greece,Remote,USA,"Large Enterprise"
33,2020,mid-level,"full time","Research Scientist","Data Science",450000,USA,"On Site",USA,"Medium Enterprise"
34,2020,mid-level,"full time","Data Analyst","Data Analysis",46759,France,Hybrid,France,"Large Enterprise"
35,2020,mid-level,"full time","Data Engineer","Data Engineering",74130,Austria,Hybrid,Austria,"Large Enterprise"
36,2020,mid-level,"full time","Data Science Consultant","Data Science",103000,USA,Remote,USA,"Large Enterprise"
37,2020,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",250000,USA,Hybrid,USA,"Large Enterprise"
38,2020,Junior,"full time","Data Analyst","Data Analysis",10000,Nigeria,Remote,Nigeria,"Small Enterprise"
39,2020,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",138000,USA,Remote,USA,"Small Enterprise"
40,2020,mid-level,"full time","Data Scientist","Data Science",45760,Philippines,Remote,USA,"Small Enterprise"
41,2020,Senior,"full time","Data Engineering Manager","Data Engineering",79833,Spain,Hybrid,Spain,"Large Enterprise"
42,2020,mid-level,"full time","Machine Learning Infrastructure Engineer","Artificial Intelligence",50180,Portugal,"On Site",Portugal,"Medium Enterprise"
43,2020,mid-level,"full time","Data Engineer","Data Engineering",106000,USA,Remote,USA,"Large Enterprise"
44,2020,mid-level,"full time","Data Engineer","Data Engineering",112872,"United Kingdom",Hybrid,"United Kingdom","Large Enterprise"
45,2020,Junior,"part time","Machine Learning Engineer","Artificial Intelligence",15966,Germany,Remote,Germany,"Small Enterprise"
46,2020,mid-level,"full time","Data Scientist","Data Science",76958,"United Kingdom",Remote,"United Kingdom","Small Enterprise"
47,2020,Senior,"full time","Data Engineer","Data Engineering",188000,USA,Remote,USA,"Large Enterprise"
48,2020,mid-level,"full time","Data Scientist","Data Science",105000,USA,Remote,USA,"Large Enterprise"
49,2020,mid-level,"full time","Data Engineer","Data Engineering",70139,France,Hybrid,France,"Large Enterprise"
50,2020,Junior,"full time","Data Analyst","Data Analysis",6072,India,"On Site",India,"Small Enterprise"
51,2020,Junior,"full time","Data Analyst","Data Analysis",91000,USA,Remote,USA,"Large Enterprise"
52,2020,Junior,"full time","AI Scientist","Data Science",45896,Denmark,Hybrid,Denmark,"Small Enterprise"
53,2020,Junior,"full time","Data Engineer","Data Engineering",54742,Pakistan,Remote,Germany,"Large Enterprise"
54,2020,Senior,"full time","Computer Vision Engineer","Data Engineering",60000,Russia,Remote,USA,"Small Enterprise"
55,2020,Senior,"full time","Principal Data Scientist","Data Science",148261,Germany,Remote,Germany,"Medium Enterprise"
56,2020,mid-level,"full time","Data Scientist","Data Science",38776,Spain,Remote,Spain,"Medium Enterprise"
57,2020,mid-level,"full time","Data Scientist","Data Science",118000,USA,Remote,USA,"Medium Enterprise"
58,2020,Senior,"full time","Data Scientist","Data Science",120000,USA,Hybrid,USA,"Large Enterprise"
59,2020,mid-level,"full time","Data Scientist","Data Science",138350,USA,Remote,USA,"Medium Enterprise"
60,2020,mid-level,"full time","Data Engineer","Data Engineering",110000,USA,Remote,USA,"Large Enterprise"
61,2020,mid-level,"full time","Data Engineer","Data Engineering",130800,Spain,Remote,USA,"Medium Enterprise"
62,2020,Junior,"part time","Data Scientist","Data Science",21669,Italy,Hybrid,Italy,"Small Enterprise"
63,2020,Senior,"full time","Data Scientist","Data Science",412000,USA,Remote,USA,"Large Enterprise"
64,2020,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",45618,Croatia,Remote,Croatia,"Small Enterprise"
65,2020,Junior,"full time","Data Scientist","Data Science",62726,Germany,Hybrid,Germany,"Small Enterprise"
66,2020,Junior,"full time","Data Scientist","Data Science",49268,Germany,"On Site",Germany,"Small Enterprise"
67,2020,Senior,"full time","Data Science Manager","Data Science",190200,USA,Remote,USA,"Medium Enterprise"
68,2020,Junior,"full time","Data Scientist","Data Science",105000,USA,Remote,USA,"Small Enterprise"
69,2020,Senior,"full time","Data Scientist","Data Science",91237,Austria,"On Site",Austria,"Small Enterprise"
70,2020,mid-level,"full time","Data Scientist","Data Science",62726,France,Hybrid,Luxembourg,"Small Enterprise"
71,2020,mid-level,"full time","Data Scientist","Data Science",42197,France,Hybrid,France,"Small Enterprise"
72,2021,Junior,"full time","Research Scientist","Data Science",82528,"United Kingdom",Hybrid,"United Kingdom","Large Enterprise"
73,2021,Senior,"full time","BI Data Analyst","Data Analysis",150000,India,Remote,USA,"Large Enterprise"
74,2021,Senior,"full time","Head of Data","Data Engineering",235000,USA,Remote,USA,"Large Enterprise"
75,2021,Senior,"full time","Data Scientist","Data Science",53192,France,Hybrid,France,"Large Enterprise"
76,2021,mid-level,"full time","BI Data Analyst","Data Analysis",100000,USA,Remote,USA,"Medium Enterprise"
77,2021,mid-level,"part time","3D Computer Vision Researcher","Computer Vision",5409,India,Hybrid,India,"Medium Enterprise"
78,2021,mid-level,contract,"Machine Learning Engineer","Artificial Intelligence",270000,USA,Remote,USA,"Large Enterprise"
79,2021,Junior,"full time","Data Analyst","Data Analysis",80000,USA,Remote,USA,"Medium Enterprise"
80,2021,Senior,"full time","Data Analytics Engineer","Data Analysis",79197,Germany,Remote,Germany,"Large Enterprise"
81,2021,mid-level,"full time","Data Engineer","Data Engineering",140000,USA,Remote,USA,"Large Enterprise"
82,2021,mid-level,"full time","Applied Data Scientist","Data Science",54238,"United Kingdom",Hybrid,Canada,"Large Enterprise"
83,2021,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",47282,Spain,Remote,Spain,"Small Enterprise"
84,2021,Senior,"full time","Director of Data Science","Data Science",153667,Italy,Remote,Poland,"Large Enterprise"
85,2021,mid-level,"full time","Data Engineer","Data Engineering",28476,Poland,Remote,Poland,"Large Enterprise"
86,2021,Junior,"full time","Data Analyst","Data Analysis",59102,France,Hybrid,France,"Medium Enterprise"
87,2021,mid-level,"full time","Data Analytics Engineer","Data Analysis",110000,USA,Remote,USA,"Large Enterprise"
88,2021,Senior,"full time","Lead Data Analyst","Data Analysis",170000,USA,Remote,USA,"Large Enterprise"
89,2021,Senior,"full time","Data Analyst","Data Analysis",80000,Bulgaria,Remote,USA,"Small Enterprise"
90,2021,Senior,"full time","Marketing Data Analyst","Data Analysis",88654,Greece,Remote,Denmark,"Large Enterprise"
91,2021,Junior,"full time","Data Science Consultant","Data Science",76833,Germany,Remote,Germany,"Small Enterprise"
92,2021,mid-level,"full time","Lead Data Analyst","Data Analysis",19609,India,Remote,India,"Large Enterprise"
93,2021,Senior,"full time","Lead Data Engineer","Data Engineering",276000,USA,"On Site",USA,"Large Enterprise"
94,2021,Junior,"full time","Data Scientist","Data Science",29751,India,Hybrid,India,"Large Enterprise"
95,2021,mid-level,"full time","Cloud Data Engineer","Data Engineering",89294,Singapore,Hybrid,Singapore,"Large Enterprise"
96,2021,Junior,"part time","AI Scientist","Data Science",12000,Brazil,Remote,USA,"Small Enterprise"
97,2021,mid-level,"full time","Financial Data Analyst","Data Analysis",450000,USA,Remote,USA,"Large Enterprise"
98,2021,Junior,"full time","Computer Vision Software Engineer","Data Engineering",70000,USA,Remote,USA,"Medium Enterprise"
99,2021,mid-level,"full time","Computer Vision Software Engineer","Data Engineering",95746,Germany,Remote,USA,"Small Enterprise"
100,2021,mid-level,"full time","Data Analyst","Data Analysis",75000,USA,"On Site",USA,"Large Enterprise"
101,2021,Senior,"full time","Data Engineer","Data Engineering",150000,USA,Remote,USA,"Large Enterprise"
102,2021,mid-level,"full time","BI Data Analyst","Data Analysis",36259,Hungary,Hybrid,USA,"Large Enterprise"
103,2021,mid-level,"full time","Data Analyst","Data Analysis",62000,USA,"On Site",USA,"Large Enterprise"
104,2021,mid-level,"full time","Data Scientist","Data Science",73000,USA,"On Site",USA,"Large Enterprise"
105,2021,mid-level,"full time","Data Analyst","Data Analysis",51519,"United Kingdom",Hybrid,"United Kingdom","Large Enterprise"
106,2021,mid-level,"full time","Research Scientist","Data Science",187442,Canada,Remote,Canada,"Large Enterprise"
107,2021,Senior,"full time","Data Engineer","Data Engineering",115000,USA,Remote,USA,"Small Enterprise"
108,2021,Senior,"full time","Data Engineer","Data Engineering",150000,USA,Remote,USA,"Medium Enterprise"
109,2021,Junior,"full time","Data Engineer","Data Engineering",30428,India,Remote,India,"Large Enterprise"
110,2021,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",94564,Germany,Hybrid,Germany,"Large Enterprise"
111,2021,Senior,"full time","Director of Data Engineering","Data Engineering",113476,"United Kingdom",Remote,"United Kingdom","Medium Enterprise"
112,2021,Senior,"full time","Lead Data Engineer","Data Engineering",103160,"United Kingdom",Remote,"United Kingdom","Small Enterprise"
113,2021,Junior,"part time","AI Scientist","Data Science",12000,Pakistan,Remote,USA,"Medium Enterprise"
114,2021,mid-level,"full time","Data Engineer","Data Engineering",45391,Netherlands,Remote,Netherlands,"Large Enterprise"
115,2021,Junior,"full time","Machine Learning Scientist","Data Science",225000,USA,Remote,USA,"Large Enterprise"
116,2021,mid-level,"full time","Data Scientist","Data Science",50000,Nigeria,Remote,Nigeria,"Large Enterprise"
117,2021,mid-level,"full time","Data Science Engineer","Data Science",40189,Greece,Remote,Greece,"Medium Enterprise"
118,2021,Junior,"full time","Data Analyst","Data Analysis",90000,USA,Remote,USA,"Small Enterprise"
119,2021,mid-level,"full time","Data Engineer","Data Engineering",200000,USA,Remote,USA,"Large Enterprise"
120,2021,mid-level,"full time","Big Data Engineer","Data Engineering",60000,Spain,Hybrid,Romania,"Medium Enterprise"
121,2021,Senior,"full time","Principal Data Engineer","Data Engineering",200000,USA,Remote,USA,"Medium Enterprise"
122,2021,Junior,"full time","Data Analyst","Data Analysis",50000,USA,Remote,USA,"Medium Enterprise"
123,2021,Junior,"full time","Applied Data Scientist","Data Science",110037,"United Kingdom","On Site","United Kingdom","Large Enterprise"
124,2021,Junior,"part time","Data Analyst","Data Analysis",10354,Spain,Hybrid,Spain,"Medium Enterprise"
125,2021,mid-level,"full time","Principal Data Scientist","Data Science",151000,USA,Remote,USA,"Large Enterprise"
126,2021,Senior,"full time","Machine Learning Scientist","Data Science",120000,USA,Hybrid,USA,"Small Enterprise"
127,2021,mid-level,"full time","Data Scientist","Data Science",9466,India,"On Site",India,"Small Enterprise"
128,2021,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",20000,India,Remote,India,"Small Enterprise"
129,2021,Senior,"full time","Lead Data Scientist","Data Science",40570,India,Hybrid,India,"Large Enterprise"
130,2021,Junior,"full time","Machine Learning Developer","Artificial Intelligence",100000,Iraq,Hybrid,Iraq,"Small Enterprise"
131,2021,Junior,"full time","Data Scientist","Data Science",49646,France,Hybrid,France,"Medium Enterprise"
132,2021,mid-level,"full time","Applied Machine Learning Scientist","Data Science",38400,Vietnam,Remote,USA,"Medium Enterprise"
133,2021,Senior,"full time","Computer Vision Engineer","Data Engineering",24000,Brazil,Remote,Brazil,"Medium Enterprise"
134,2021,Junior,"full time","Data Scientist","Data Science",100000,USA,"On Site",USA,"Small Enterprise"
135,2021,mid-level,"full time","Data Analyst","Data Analysis",90000,USA,Remote,USA,"Medium Enterprise"
136,2021,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",63711,Japan,Hybrid,Japan,"Small Enterprise"
137,2021,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",77364,Japan,Hybrid,Japan,"Small Enterprise"
138,2021,Senior,"full time","Principal Data Scientist","Data Science",220000,USA,"On Site",USA,"Large Enterprise"
139,2021,Junior,"full time","Data Scientist","Data Science",80000,USA,Remote,USA,"Medium Enterprise"
140,2021,mid-level,"full time","Data Analyst","Data Analysis",135000,USA,Remote,USA,"Large Enterprise"
141,2021,Senior,"full time","Data Science Manager","Data Science",240000,USA,"On Site",USA,"Large Enterprise"
142,2021,Senior,"full time","Data Engineering Manager","Data Engineering",150000,USA,"On Site",USA,"Large Enterprise"
143,2021,mid-level,"full time","Data Scientist","Data Science",82500,USA,Remote,USA,"Small Enterprise"
144,2021,mid-level,"full time","Data Engineer","Data Engineering",100000,USA,Remote,USA,"Large Enterprise"
145,2021,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",82744,Belgium,Hybrid,Belgium,"Medium Enterprise"
146,2021,mid-level,"full time","Research Scientist","Data Science",62649,France,Hybrid,France,"Medium Enterprise"
147,2021,mid-level,"full time","Data Engineer","Data Engineering",90000,USA,Remote,USA,"Large Enterprise"
148,2021,Senior,"full time","Data Engineering Manager","Data Engineering",153000,USA,Remote,USA,"Large Enterprise"
149,2021,Senior,"full time","Cloud Data Engineer","Data Engineering",160000,Brazil,Remote,USA,"Small Enterprise"
150,2021,Senior,"full time","Director of Data Science","Data Science",168000,Japan,"On Site",Japan,"Small Enterprise"
151,2021,mid-level,"full time","Data Scientist","Data Science",150000,USA,Remote,USA,"Medium Enterprise"
152,2021,mid-level,"full time","Data Scientist","Data Science",75774,Canada,Remote,Canada,"Large Enterprise"
153,2021,Junior,"full time","Data Scientist","Data Science",13400,Ukraine,Remote,Ukraine,"Large Enterprise"
154,2021,Senior,"full time","Data Science Manager","Data Science",144000,USA,Remote,USA,"Large Enterprise"
155,2021,Senior,"full time","Data Science Engineer","Data Science",127221,Canada,Hybrid,Canada,"Large Enterprise"
156,2021,mid-level,"full time","Data Scientist","Data Science",119059,Singapore,Remote,IL,"Medium Enterprise"
157,2021,mid-level,"full time","Applied Machine Learning Scientist","Data Science",423000,USA,Hybrid,USA,"Large Enterprise"
158,2021,Senior,"full time","Data Analytics Manager","Data Analysis",120000,USA,Remote,USA,"Medium Enterprise"
159,2021,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",125000,USA,Remote,USA,"Small Enterprise"
160,2021,Senior,"full time","Head of Data","Data Engineering",230000,Russia,Hybrid,Russia,"Large Enterprise"
161,2021,Senior,"full time","Head of Data Science","Data Science",85000,Russia,"On Site",Russia,"Medium Enterprise"
162,2021,mid-level,"full time","Data Engineer","Data Engineering",28369,Malta,Hybrid,Malta,"Large Enterprise"
163,2021,Junior,"full time","Data Science Consultant","Data Science",63831,Germany,Hybrid,Germany,"Large Enterprise"
164,2021,Senior,"full time","Director of Data Science","Data Science",130026,Germany,Hybrid,Germany,"Medium Enterprise"
165,2021,Senior,"full time","Data Specialist","Data Analysis",165000,USA,Remote,USA,"Large Enterprise"
166,2021,Junior,"full time","Data Engineer","Data Engineering",80000,USA,Remote,USA,"Large Enterprise"
167,2021,Senior,"full time","Director of Data Science","Data Science",250000,USA,"On Site",USA,"Large Enterprise"
168,2021,Junior,"full time","BI Data Analyst","Data Analysis",55000,USA,Hybrid,USA,"Small Enterprise"
169,2021,mid-level,"full time","Data Architect","Data Architecture",150000,USA,Remote,USA,"Large Enterprise"
170,2021,mid-level,"full time","Data Architect","Data Architecture",170000,USA,Remote,USA,"Large Enterprise"
171,2021,mid-level,"full time","Data Engineer","Data Engineering",82528,"United Kingdom",Remote,"United Kingdom","Large Enterprise"
172,2021,Junior,"full time","Data Analyst","Data Analysis",60000,USA,Remote,USA,"Small Enterprise"
173,2021,Senior,"full time","Principal Data Scientist","Data Science",235000,USA,Remote,USA,"Large Enterprise"
174,2021,Senior,"full time","Research Scientist","Data Science",60757,Portugal,Hybrid,Portugal,"Large Enterprise"
175,2021,Senior,"full time","Data Engineering Manager","Data Engineering",174000,USA,Remote,USA,"Large Enterprise"
176,2021,mid-level,"full time","Data Scientist","Data Science",2859,Mexico,"On Site",Mexico,"Small Enterprise"
177,2021,mid-level,"full time","Data Scientist","Data Science",40038,Chile,Remote,Chile,"Large Enterprise"
178,2021,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",81000,USA,Hybrid,USA,"Small Enterprise"
179,2021,mid-level,"full time","Data Scientist","Data Science",5679,India,Remote,USA,"Small Enterprise"
180,2021,mid-level,"full time","Big Data Engineer","Data Engineering",22611,India,"On Site",India,"Large Enterprise"
181,2021,mid-level,"full time","Data Scientist","Data Science",90734,Germany,Hybrid,Germany,"Large Enterprise"
182,2021,mid-level,"full time","Data Engineer","Data Engineering",26005,Romania,"On Site",USA,"Large Enterprise"
183,2021,Senior,"full time","Financial Data Analyst","Data Analysis",61896,"United Kingdom",Hybrid,"United Kingdom","Large Enterprise"
184,2021,mid-level,"full time","Machine Learning Scientist","Data Science",12000,Pakistan,Hybrid,Pakistan,"Medium Enterprise"
185,2021,mid-level,"full time","Data Engineer","Data Engineering",4000,Iran,Remote,Iran,"Medium Enterprise"
186,2021,Senior,"full time","Data Analytics Engineer","Data Analysis",50000,Vietnam,Remote,"United Kingdom","Medium Enterprise"
187,2021,Senior,"full time","Data Science Consultant","Data Science",69741,France,Remote,Spain,"Small Enterprise"
188,2021,Senior,"full time","Data Engineer","Data Engineering",76833,Romania,Hybrid,"United Kingdom","Small Enterprise"
189,2021,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",74000,Japan,Hybrid,Japan,"Small Enterprise"
190,2021,Senior,"full time","Data Science Manager","Data Science",152000,USA,Remote,France,"Large Enterprise"
191,2021,Junior,"full time","Machine Learning Engineer","Artificial Intelligence",21844,Colombia,Hybrid,Colombia,"Medium Enterprise"
192,2021,mid-level,"full time","Big Data Engineer","Data Engineering",18000,Moldova,"On Site",Moldova,"Small Enterprise"
193,2021,Senior,"full time","Data Science Manager","Data Science",174000,USA,Remote,USA,"Large Enterprise"
194,2021,Senior,"full time","Research Scientist","Data Science",96113,Canada,Hybrid,Canada,"Large Enterprise"
195,2021,mid-level,"full time","Data Scientist","Data Science",147000,USA,Hybrid,USA,"Large Enterprise"
196,2021,Junior,"full time","BI Data Analyst","Data Analysis",9272,Kenya,Remote,Kenya,"Small Enterprise"
197,2021,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",24342,India,Remote,India,"Large Enterprise"
198,2021,Senior,"full time","Data Science Manager","Data Science",54094,India,Hybrid,USA,"Large Enterprise"
